_id,name,asset_type,tags,location_id,street_address,unit,unit_type,municipality,city,state,zip_code,latitude,longitude,parcel_id,residence,iffy_geocoding,available_transportation,parent_location_id,parent_location,url,email,phone,hours_of_operation,holiday_hours_of_operation,periodicity,capacity,wifi_network,internet_access,computers_available,accessibility,open_to_public,child_friendly,sensitive,do_not_display,localizability,services,hard_to_count_population,data_source_names,data_source_urls,organization_name,organization_phone,organization_email,etl_notes,geocoding_properties
35612927,Giant Eagle #47 / Market District Robinson ,supermarkets,,84595,100 Settlers Ridge Center Drive,,,,Pittsburgh,PA,15205,40.441637634695,-80.1513485570352,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35629959,Dollar Tree #5553,supermarkets,,84618,1630 Arlington Avenue,,,,Pittsburgh,PA,15210,40.4173609186483,-79.9874162395652,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35629982,Costco #649,supermarkets,,84578,501 W Waterfront Dr,,,,Homestead,PA,15120,40.4029700093699,-79.9214116735045,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630120,Donatelli's Italian Food Center,supermarkets,,84524,4711 Liberty Avenue,,,,Pittsburgh,PA,15224,40.4621478401123,-79.9493419627557,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630149,East End Food Co-Op,supermarkets,,84544,7516 Meade Street,,,,Pittsburgh,PA,15208,40.448304325157,-79.8957012276635,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630175,Food Shoppe,supermarkets,,84449,5878 Northumberland  Street,,,,Pittsburgh,PA,15217,40.4415613067987,-79.9205356682313,,,,,,,,,,,,,8,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630235,Shop 'n Save,supermarkets,,84632,4313 Walnut  Street,,,,Mc Keesport,PA,15132,40.3219335823086,-79.8336933853579,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630258,Shop 'n Save,supermarkets,,84620,5001 Library Road,,,,Bethel Park,PA,15102,40.3410994460123,-80.0246620779768,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630376,Community Market,supermarkets,,84592,1710 Pacific Avenue,,,,Natrona Heights,PA,15065,40.6211027742764,-79.7240879980997,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630398,Bombay Market,supermarkets,,84614,4605 Centre Avenue,,,,Pittsburgh,PA,15213,40.4521473944633,-79.9517842956016,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630465,Community Super Market,supermarkets,,84566,1117 Milltown Rd,,,,Verona,PA,15147,40.4986513151729,-79.7907203449821,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630468,Costco #332,supermarkets,,84591,202 Costco Drive,,,,Pittsburgh,PA,15205,40.4595128129547,-80.1652254364233,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630490,Coraopolis Cash Market,supermarkets,,84471,1017 4th  Avenue,,,,Coraopolis,PA,15108,40.5183067281232,-80.1628130642656,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630869,Giant Eagle #25,supermarkets,,84473,1029 West View Park Drive,,,,Pittsburgh,PA,15229,40.516959,-80.038859,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'accuracy': 1, 'accuracy_type': 'rooftop', 'address_components': {'number': '1029', 'predirectional': 'W', 'street': 'View Park', 'suffix': 'Dr', 'formatted_street': 'W View Park Dr', 'city': 'Pittsburgh', 'county': 'Allegheny County', 'state': 'PA', 'zip': '15229', 'country': 'US'}, 'geocoder': 'Geocodio'}"
35630870,Fresh Thyme Farmer's Market #452,supermarkets,,84623,665 Clairton  Boulevard,,,,Pittsburgh,PA,15236,40.3301968381685,-79.9440817860651,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630871,Giant Eagle #45,supermarkets,,84491,225 Blazier Dr,,,,Pittsburgh,PA,15237,40.584386,-80.038153,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'accuracy': 1, 'accuracy_type': 'rooftop', 'address_components': {'number': '225', 'street': 'Blazier', 'suffix': 'Dr', 'formatted_street': 'Blazier Dr', 'city': 'Pittsburgh', 'county': 'Allegheny County', 'state': 'PA', 'zip': '15237', 'country': 'US'}, 'geocoder': 'Geocodio'}"
35630872,Giant Eagle #64,supermarkets,,84485,3812 O'Neil Blvd,,,,Mc Keesport,PA,15132,40.347309,-79.831342,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'accuracy': 1, 'accuracy_type': 'rooftop', 'address_components': {'number': '3812', 'street': 'Oneil', 'suffix': 'Blvd', 'formatted_street': 'Oneil Blvd', 'city': 'McKeesport', 'county': 'Allegheny County', 'state': 'PA', 'zip': '15132', 'country': 'US'}, 'geocoder': 'Geocodio'}"
35630873,Genji,supermarkets,,82451,10576 Perry Highway,,,,Wexford,PA,15090,40.6122613707721,-80.0529106557463,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630874,Giant Eagle #67,supermarkets,,84538,8080 McKnight Rd / McIntyre Square  Drive,,,,Pittsburgh,PA,15237,40.556668,-80.022232,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'accuracy': 1, 'accuracy_type': 'range_interpolation', 'address_components': {'number': '8080', 'street': 'McKnight', 'suffix': 'Rd', 'formatted_street': 'McKnight Rd', 'city': 'Pittsburgh', 'county': 'Allegheny County', 'state': 'PA', 'zip': '15237', 'country': 'US'}, 'geocoder': 'Geocodio'}"
35630875,Giant Eagle #0004,supermarkets,,84394,5055 Library  Road,,,,Bethel Park,PA,15102,40.3389236351549,-80.0254781207211,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630876,Giant Eagle / Market District Pine #43,supermarkets,,84603,155 Towne Center  Drive,,,,Wexford,PA,15090,40.632214,-80.054324,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'accuracy': 1, 'accuracy_type': 'rooftop', 'address_components': {'number': '155', 'street': 'Towne Centre', 'suffix': 'Blvd', 'formatted_street': 'Towne Centre Blvd', 'city': 'Wexford', 'county': 'Allegheny County', 'state': 'PA', 'zip': '15090', 'country': 'US'}, 'geocoder': 'Geocodio'}"
35630877,Giant Eagle #0015,supermarkets,,82193,1701 Lincoln Highway,,,,North Versailles,PA,15137,40.3722453854663,-79.7887557401352,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630878,Giant Eagle #0052,supermarkets,,84495,132 Ben Avon Heights Rd,,,,Pittsburgh,PA,15237,40.5216393149771,-80.0691386522503,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630879,Fresh Thyme Farmers Market #451,supermarkets,,84622,1155 Washington Pike,,,,Bridgeville,PA,15017,40.36960041,-80.10501537,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630880,Giant Eagle #0073,supermarkets,,84499,9901 Mountain View  Drive,,,,West Mifflin,PA,15122,40.3396577028123,-79.9497507234932,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630881,Giant Eagle #641,supermarkets,,16982,1025 Washington Pike,,,,Bridgeville,PA,15017,40.367163,-80.110119,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630882,Giant Eagle #0093,supermarkets,,84625,600 Towne Square Way,,,,Pittsburgh,PA,15227,40.3656415083411,-79.9834038578078,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630883,Giant Eagle #24 ,supermarkets,,84612,3239 Washington Pike,,,,Bridgeville,PA,15017,40.34106021,-80.11828257,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630884,Giant Eagle #068,supermarkets,,84599,5990 University Boulevard,,,,Coraopolis,PA,15108,40.5217743173523,-80.2205626401866,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630885,Giant Eagle #1691,supermarkets,,84515,400 Northtowne  Square,,,,Gibsonia,PA,15044,40.6364706790034,-79.9422997344717,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630886,Giant Eagle #17,supermarkets,,84503,6320 Shakespeare St,,,,Pittsburgh,PA,15206,40.4586694165469,-79.920755192051,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630887,Giant Eagle #18,supermarkets,,84598,1671 Butler Plank Road,,,,Glenshaw,PA,15116,40.5375454030348,-79.9649148718196,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630888,Giant Eagle #2,supermarkets,,84511,1800 McKees Rocks Rd,,,,Mc Kees Rocks,PA,15136,40.4677890700157,-80.0976432288596,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630889,Giant Eagle #29,supermarkets,,84608,1356 Hoffman Boulevard,,,,West Mifflin,PA,15122,40.3842655281108,-79.8681439041393,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630890,Giant Eagle #31,supermarkets,,84560,5260  Grove Road,,,,Pittsburgh,PA,15236,40.3573973996838,-80.0022768909744,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630891,Giant Eagle #35,supermarkets,,84631,1717 Cochran  Road,,,,Pittsburgh,PA,15220,40.3927229216368,-80.0647269863152,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630892,Giant Eagle #37,supermarkets,,84479,5 Quaker Village Shopping Center,,,,Leetsdale,PA,15056,40.559414,-80.203569,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 0.8, 'accuracy': 'point', 'match_type': 'fallback', 'layer': 'address', 'label': '8A Quaker Village Shopping Center, Leetsdale, PA, USA'}"
35630893,Giant Eagle #38,supermarkets,,84504,1901 Murray Avenue,,,,Pittsburgh,PA,15217,40.4356644808696,-79.9225606363348,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630894,Shop 'n Save #0212100,supermarkets,,84633,4548 Broadway  Boulevard,,,,Monroeville,PA,15146,40.389146494909,-79.7671915533704,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630895,Giant Eagle #60,supermarkets,,84507,4010 Monroeville Boulevard,,,,Monroeville,PA,15146,40.432094206355,-79.7726641316603,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630896,Giant Eagle #605 Elizabeth Township,supermarkets,,84542,800 McKeesport  Road,,,,Elizabeth,PA,15037,40.2799239290416,-79.875698354338,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630897,Giant Eagle #61,supermarkets,,84456,2021 Wharton  Street,,,,Pittsburgh,PA,15203,40.4311319291128,-79.9766070844995,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
